ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
ASSERT: 01.08.2019 20:14:26 REASON: (nullptr != dynamic_cast<db_common_object_t *>(pObject)), File: db_object.cpp, Line: 819
