ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:09:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 21:11:44 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:29:01 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:29:01 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:29:01 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:29:01 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:37 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:37 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:37 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:37 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:37 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:37 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:37 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:37 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:40 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:40 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:40 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 04.08.2019 22:51:40 REASON: (0), File: int_drawing_view.cpp, Line: 148
