ASSERT: 13.08.2019 21:21:14 REASON: ("Incorrect world" && 0), File: gr_dotnet.cpp, Line: 239
ASSERT: 13.08.2019 21:21:14 REASON: (!"UNKNOWN TYPE ENCOUNTERED IN ConvertViewTypeFromCore"), File: gr_dotnet_view.cpp, Line: 105
ASSERT: 14.08.2019 00:42:03 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 00:42:03 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 00:42:03 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 00:42:03 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 00:42:03 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 00:42:03 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 00:42:03 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 00:42:03 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 00:42:03 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 00:42:04 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 00:42:04 REASON: (0), File: int_drawing_view.cpp, Line: 148
ERROR:  14.08.2019 01:03:26 DWGImport encountered errors while importing file: .\dwg\Uzlu.dwg
ERROR:  14.08.2019 01:03:26 Font missing: Using 'Segoe UI semibold' for '2'
ERROR:  14.08.2019 01:03:26 Font missing: Using 'Segoe UI semibold' for '2'
ERROR:  14.08.2019 01:03:26 DWGImport encountered errors while importing file: .\dwg\Uzlu.dwg
ERROR:  14.08.2019 01:05:49 DWGImport encountered errors while importing file: .\dwg\Uzlu.dwg
ERROR:  14.08.2019 01:05:49 Font missing: Using 'Segoe UI semibold' for '2'
ERROR:  14.08.2019 01:05:49 Font missing: Using 'Segoe UI semibold' for '2'
ERROR:  14.08.2019 01:05:49 DWGImport encountered errors while importing file: .\dwg\Uzlu.dwg
ASSERT: 14.08.2019 01:06:48 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:48 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:48 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:48 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:48 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:48 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:48 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:48 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:48 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:49 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:06:50 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:16 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:16 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:16 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:16 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:16 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:16 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:16 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:16 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:16 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:16 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:16 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:07:17 REASON: (0), File: int_drawing_view.cpp, Line: 148
